# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.5.3

bank::giowsa, double, 4069000000000000
bank::kevinetlucas, double, 4079000000000000
bank::noumaa, double, 423748768DC40000
bank::poskitch2, double, 40BC840000000000
bank::poskitch, double, 4100978000000000
bank::spas13, double, 42D6BCC41EB0D000
character::giowsa::1, string, 800847696F76616E6E69
character::giowsa::2, string, 8007436F7273696E69
character::kevinetlucas::1, string, 80034C7563
character::kevinetlucas::2, string, 80054E6FC3AB6C
character::noumaa::1, string, 80054E6F756D61
character::noumaa::2, string, 800756616C6CC3A965
character::poskitch2::1, string, 80045061756C
character::poskitch2::2, string, 80054B6F756261
character::poskitch::1, string, 80044A6F686E
character::poskitch::2, string, 80075374616C6C6579
character::spas13::1, string, 8004546F6E79
character::spas13::2, string, 80054861776B73
character.lastchanged::giowsa, date, 810974696D657374616D70040000017803EFC975
character.lastchanged::kevinetlucas, date, 810974696D657374616D700400000177E9E580AF
character.lastchanged::noumaa, date, 810974696D657374616D70040000017805155B2B
character.lastchanged::poskitch2, date, 810974696D657374616D700400000177EA0DCC2B
character.lastchanged::poskitch, date, 810974696D657374616D700400000177E9DCC587
character.lastchanged::spas13, date, 810974696D657374616D700400000177E9E7123E
hook::giowsa, date, 810974696D657374616D700400000178051D9556
hook::noumaa, date, 810974696D657374616D700400000178051D46FE
hook::poskitch, date, 810974696D657374616D70040000017805258081
hook::spas13, date, 810974696D657374616D7004000001780521F8E0
jobplayers::0, long, 0000000000000000
jobplayers::1, long, 0000000000000000
jobplayers::2, long, 0000000000000000
jobplayers::3, long, 0000000000000000
mnmissions::all::1, string, 80096E6574746F79616765
mnmissions::all::2, string, 800570616E6E65
mnmissions::nettoyage::1, location, 8605776F726C6480FF0000000181046E616D652080076265656C69666501780940613000000000000179094012000000000000017A0940667000000000000570697463680800000000037961770800000000
mnmissions::panne::1, location, 8605776F726C6480FF0000000181046E616D652080076265656C696665017809406B7000000000000179094031800000000000017A0940751800000000000570697463680800000000037961770800000000
online, integer, 00000003
phone::contacts::giowsa::unmecbizzare, string, 8006353535323238
phone::contacts::noumaa::gio, string, 8006353535323137
phone::contacts::noumaa::nouma, string, 8006353535323238
phone::contacts::poskitch::e, string, 8006353535343738
phone::contacts::poskitch::nouma, string, 8006353535323238
phone::numbers::giowsa, long, 00000000000878D1
phone::numbers::noumaa, long, 00000000000878DC
phone::numbers::poskitch2, long, 0000000000087928
phone::numbers::poskitch, long, 00000000000879D6
phone::numbers::spas13, long, 0000000000087A14
scoreboard.namestage, long, 0000000000000003
wallet::giowsa, double, 407F400000000000
wallet::kevinetlucas, double, 408F700000000000
wallet::noumaa, double, 40AF5A0000000000
wallet::poskitch2, long, 0000000000000000
wallet::poskitch, double, 40C4818000000000
wallet::spas13, double, 40EEA84000000000
weed::gui::noumaa, location, 8605776F726C6480FF0000000181046E616D652080076265656C6966650178094069B00000000000017909402BE66666666666017A0940738800000000000570697463680800000000037961770800000000
weed::gui::poskitch, location, 8605776F726C6480FF0000000181046E616D652080076265656C696665017809400C000000000000017909400799999999999A017A09406C5000000000000570697463680800000000037961770800000000
weed::gui::spas13, location, 8605776F726C6480FF0000000181046E616D652080076265656C6966650178093FF8000000000000017909400799999999999A017A0940706800000000000570697463680800000000037961770800000000

